Round,Turn,Entity,Bob cash,Sue cash,Nell cash,Pete cash,Carl cash,Bob net,Sue net,Nell net,Pete net,Carl net,Baltimore & Ohio cash,Boston & Maine cash,Chesapeake & Ohio cash,Illinois Central cash,Erie cash,New York Central cash,Nickel Plate cash,New York New Haven & Hartford cash,Pennsylvania cash,Wabash cash,Baltimore & Ohio np,Boston & Maine np,Chesapeake & Ohio np,Illinois Central np,Erie np,New York Central np,Nickel Plate np,New York New Haven & Hartford np,Pennsylvania np,Wabash np,Baltimore & Ohio val,Boston & Maine val,Chesapeake & Ohio val,Illinois Central val,Erie val,New York Central val,Nickel Plate val,New York New Haven & Hartford val,Pennsylvania val,Wabash val,Baltimore & Ohio pps,Boston & Maine pps,Chesapeake & Ohio pps,Illinois Central pps,Erie pps,New York Central pps,Nickel Plate pps,New York New Haven & Hartford pps,Pennsylvania pps,Wabash pps,Baltimore & Ohio sh,Boston & Maine sh,Chesapeake & Ohio sh,Illinois Central sh,Erie sh,New York Central sh,Nickel Plate sh,New York New Haven & Hartford sh,Pennsylvania sh,Wabash sh,Baltimore & Ohio or,Boston & Maine or,Chesapeake & Ohio or,Illinois Central or,Erie or,New York Central or,Nickel Plate or,New York New Haven & Hartford or,Pennsylvania or,Wabash or,Train 
1,0,Nell,300,300,36,300,300,300,300,300,300,300,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,34,34,34,66,34,34,34,34,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,6,10,10,10,10,0,0,0,0,0,0,0,0,0,0,1
1,1,Sue,300,168,36,300,300,300,300,300,300,300,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,34,34,34,66,34,34,34,34,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,4,10,10,10,10,0,0,0,0,0,0,0,0,0,0,1
1,2,Carl,300,168,36,300,25,300,300,300,300,300,0,0,275,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,55,34,34,66,34,34,34,34,0,0,0,0,0,0,0,0,0,0,10,10,5,10,10,4,10,10,10,10,0,0,0,0,0,0,0,0,0,0,1
1,3,Pete,300,168,36,0,25,300,300,300,300,300,0,0,275,0,0,396,0,0,300,0,0,0,0,0,0,0,0,0,0,0,34,34,55,34,34,66,34,34,60,34,0,0,0,0,0,0,0,0,0,0,10,10,5,10,10,4,10,10,5,10,0,0,0,0,0,0,0,0,0,0,1
1,4,Bob,0,168,36,0,25,300,300,300,300,300,300,0,275,0,0,396,0,0,300,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,66,34,34,60,34,0,0,0,0,0,0,0,0,0,0,5,10,5,10,10,4,10,10,5,10,0,0,0,0,0,0,0,0,0,0,1
1,0,Nell,0,168,36,0,25,300,300,300,300,300,300,0,275,0,0,396,0,0,300,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,66,34,34,60,34,0,0,0,0,0,0,0,0,0,0,5,10,5,10,10,4,10,10,5,10,0,0,0,0,0,0,0,0,0,0,1
1,1,Sue,0,108,36,0,25,300,300,300,300,300,360,0,275,0,0,396,0,0,300,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,66,34,34,60,34,0,0,0,0,0,0,0,0,0,0,4,10,5,10,10,4,10,10,5,10,0,0,0,0,0,0,0,0,0,0,1
1,2,Carl,0,108,36,0,25,300,300,300,300,300,360,0,275,0,0,396,0,0,300,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,66,34,34,60,34,0,0,0,0,0,0,0,0,0,0,4,10,5,10,10,4,10,10,5,10,0,0,0,0,0,0,0,0,0,0,1
1,3,Pete,0,108,36,0,25,300,300,300,300,300,360,0,275,0,0,396,0,0,300,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,66,34,34,60,34,0,0,0,0,0,0,0,0,0,0,4,10,5,10,10,4,10,10,5,10,0,0,0,0,0,0,0,0,0,0,1
1,4,Bob,0,108,36,0,25,300,300,300,300,300,360,0,275,0,0,396,0,0,300,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,66,34,34,60,34,0,0,0,0,0,0,0,0,0,0,4,10,5,10,10,4,10,10,5,10,0,0,0,0,0,0,0,0,0,0,1
